,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,262503,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA SPECJALNA 67 W OLSZTYNIE W NIEPUBLICZNYM MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII 67 W OLSZTYNIE,Olsztyn,ul. Dworcowa 60A,24,46,16,41,36,24,26,14,22,20,24,40,26,36,22,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,263559,dla dorosłych,Tak,SZKOŁA PODSTAWOWA DLA DOROSŁYCH W OLSZTYNIE,Olsztyn,al. Aleja Marszałka Józefa Piłsudskiego 61,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,267352,dla młodzieży,Nie,KORCZAKOWSKA SZKOŁA MARZEŃ - NIEPUBLICZNA SZKOŁA PODSTAWOWA W OLSZTYNIE,Olsztyn,al. Aleja Generała Władysława Sikorskiego 23,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,268581,dla dorosłych,Nie,SZKOŁA PODSTAWOWA DLA DOROSŁYCH W OLSZTYNIE,Olsztyn,ul. Adama Mickiewicza 5,13,23,9,22,18,13,19,11,20,4,13,36,26,27,27,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina miejska,2801011,52098,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 7 IM.JÓZEFA WYBICKIEGO W BARTOSZYCACH,Bartoszyce,ul. gen. Bema 35,79,52,17,53,53,79,39,22,32,20,79,64,26,64,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina miejska,2801011,78194,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. ROMUALDA TRAUGUTTA W BARTOSZYCACH,Bartoszyce,ul. Traugutta 23,62,48,16,51,51,62,30,19,24,16,62,54,28,56,29,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina miejska,2801011,81109,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM.TADEUSZA KOŚCIUSZKI W BARTOSZYCACH,Bartoszyce,ul. Andrzeja Witolda Wajdy 18,73,56,19,60,60,73,46,25,40,40,73,66,30,76,96,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina miejska,2801011,81254,dla młodzieży,Tak,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY NR 1 W BARTOSZYCACH SZKOŁA PODSTAWOWA NR4 IM.I PUŁKU ARTYLERII LEKKIEJ W BARTOSZYCACH,Bartoszyce,ul. Nowowiejskiego 31,27,54,12,58,51,27,41,21,36,28,27,74,23,78,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina miejska,2801011,86926,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 8 IM.ŁESI UKRAINKI Z UKRAIŃSKIM JĘZYKIEM NAUCZANIA W BARTOSZYCACH,Bartoszyce,ul. Leśna 1,11,67,19,62,100,11,47,25,44,28,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina wiejska,2801032,56226,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. 20 BARTOSZYCKIEJ BRYGADY ZMECHANIZOWANEJ W BEZLEDACH,Bezledy,13A,14,45,15,49,49,14,28,16,22,20,14,53,27,50,29,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina wiejska,2801032,56227,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. LEŚNIKÓW POLSKICH W GALINACH,Galiny,69,9,,,,,9,,,,,5,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina wiejska,2801032,56230,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W KINKAJMACH,Kinkajmy,18A,14,54,14,58,58,14,39,20,32,16,14,49,26,47,20,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina wiejska,2801032,56231,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W WOJCIECHACH,Wojciechy,66,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina wiejska,2801032,56232,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA HENRYKA DĄBROWSKIEGO W ŻYDOWIE,Żydowo,2,16,51,14,50,44,16,34,21,24,20,16,43,31,30,24,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina wiejska,2801032,128067,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA W RODNOWIE,Rodnowo,23,8,,,,,8,,,,,5,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,bartoszycki,Bartoszyce,Gmina wiejska,2801032,275825,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM.JANUSZA KORCZAKA W KRAWCZYKACH,Krawczyki,8,5,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
