,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,196412,dla dorosłych,Tak,CENTRUM KSZTAŁCENIA USTAWICZNEGO SZKOŁA PODSTAWOWA DLA DOROSŁYCH W ZIELONEJ GÓRZE,Zielona Góra,ul. Stanisława Staszica 2,10,15,8,14,7,11,14,6,12,12,11,17,7,18,18,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Bogdaniec,Gmina wiejska,0801022,69402,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. WŁODZIMIERZA KORSAKA W JENINIE,Jenin,ul. Lipowa 1,16,56,20,58,60,16,44,22,42,76,15,65,26,62,36,,,,,,,,,,,1,,,,,,,,,
6,Lubuskie,gorzowski,Bogdaniec,Gmina wiejska,0801022,69408,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W LUBCZYNIE,Lubczyno,55,9,,,,,9,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
6,Lubuskie,gorzowski,Bogdaniec,Gmina wiejska,0801022,69411,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W JENIŃCU,Jeniniec,8A,9,,,,,9,,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,
6,Lubuskie,gorzowski,Bogdaniec,Gmina wiejska,0801022,75356,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W BOGDAŃCU,Bogdaniec,ul. Pocztowa 7,25,68,11,69,71,25,46,22,40,24,25,73,23,80,98,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Deszczno,Gmina wiejska,0801032,30542,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W CIECIERZYCACH,Ciecierzyce,ul. Borkowska 2,17,60,16,64,67,17,45,25,44,16,16,60,31,67,87,,,,,,,,,,,1,,,,,,,,,
6,Lubuskie,gorzowski,Deszczno,Gmina wiejska,0801032,71307,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W ULIMIU,Ulim,ul. Rubinowa 5,24,57,15,58,49,24,35,19,28,24,10,63,25,66,,,,,,,,,,,,14,47,22,40,38,,,,,
6,Lubuskie,gorzowski,Deszczno,Gmina wiejska,0801032,71308,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W BOLEMINIE,Bolemin,102,14,52,14,57,49,14,24,9,24,24,14,47,22,42,33,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Deszczno,Gmina wiejska,0801032,92221,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W DESZCZNIE,Deszczno,ul. Lubuska 61,52,61,15,62,67,52,42,24,32,24,52,68,28,75,100,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Kostrzyn nad Odrą,Gmina miejska,0801011,48918,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. PRZYJACIÓŁ ZIEMI,Kostrzyn nad Odrą,ul. Ludwika Banaszaka 1,51,59,16,62,64,51,61,23,60,60,54,63,26,65,95,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Kostrzyn nad Odrą,Gmina miejska,0801011,48919,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. KONSTYTUCJI 3 MAJA,Kostrzyn nad Odrą,ul. Henryka Sienkiewicza 6,77,65,17,69,78,78,54,27,54,28,78,69,28,78,96,,,,,,,,,,,1,,,,,,,,,
6,Lubuskie,gorzowski,Kostrzyn nad Odrą,Gmina miejska,0801011,262302,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. INTEGRACJI EUROPEJSKIEJ,Kostrzyn nad Odrą,ul. Mikołaja Reja 32A,34,56,16,60,60,34,45,27,36,36,32,76,21,84,95,,,,,,,,,,,2,,,,,,,,,
6,Lubuskie,gorzowski,Kostrzyn nad Odrą,Gmina miejska,0801011,262305,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. PRZYJACIÓŁ KOSTRZYNA NAD ODRĄ,Kostrzyn nad Odrą,ul. Tadeusza Kościuszki 7,27,58,22,64,67,27,45,25,36,20,29,64,31,75,95,,,,,,,,,,,1,,,,,,,,,
6,Lubuskie,gorzowski,Kłodawa,Gmina wiejska,0801042,93026,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II,Różanki,ul. Dębowa 3,21,48,17,53,53,21,30,17,24,12,21,54,27,51,31,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Kłodawa,Gmina wiejska,0801042,107342,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. ADAMA MICKIEWICZA,Kłodawa,ul. Szkolna 1,48,62,13,64,64,48,52,25,50,20,47,74,24,84,98,,,,,,,,,,,1,,,,,,,,,
6,Lubuskie,gorzowski,Lubiszyn,Gmina wiejska,0801052,7540,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W STAWIE,Staw,2,13,52,19,47,40,13,38,25,28,12,13,43,27,31,,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Lubiszyn,Gmina wiejska,0801052,7569,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W LUBISZYNIE,Lubiszyn,ul. Polna 6,10,52,24,56,,10,45,23,40,36,10,58,32,49,,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Lubiszyn,Gmina wiejska,0801052,9102,dla młodzieży,Nie,SZKOŁA PODSTAWOWA W LUBNIE IM. KOMBATANTÓW II WOJNY ŚWIATOWEJ,Lubno,ul. Plac Wyzwolenia 8,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,gorzowski,Lubiszyn,Gmina wiejska,0801052,22200,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. POLSKICH OLIMPIJCZYKÓW W BACZYNIE,Baczyna,ul. Szkolna 1,35,59,20,60,31,35,35,20,28,20,35,55,32,53,25,,,,,,,,,,,,,,,,,,,,
