RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Participants in mathematics,Avg. score in mathematics
103709,0602092,1,0,0,0,5003.05,21,35
30920,0603022,1,0,0,0,5850.31,49,37
21053,0603032,1,0,0,0,5034.41,19,37
21057,0603032,1,0,0,0,5034.41,18,44
21059,0603032,1,0,0,0,5034.41,21,46
21061,0603032,1,0,0,0,5034.41,47,48
21063,0603032,1,0,0,0,5034.41,19,56
12934,0603042,1,0,0,0,5032.49,37,48
103505,0603052,1,0,0,0,4708.0,21,25
11032,0603062,1,0,0,0,5143.12,14,38
30692,0603062,1,0,0,0,5143.12,16,36
119342,0603072,1,0,0,0,5993.62,15,36
103340,0603011,0,1,0,0,6797.52,29,46
88451,0603082,1,0,0,0,5721.58,25,39
103853,0603082,1,0,0,0,5721.58,14,30
107701,0603092,1,0,0,0,5317.34,29,39
20084,0603102,1,0,0,0,5405.45,29,50
52719,0603122,1,0,0,0,6131.01,11,45
52722,0603122,1,0,0,0,6131.01,39,40
114111,0603132,1,0,0,0,5234.65,26,37
7613,0603142,1,0,0,0,5582.35,19,31
72834,0604022,1,0,0,0,4890.69,13,41
109246,0604022,1,0,0,0,4890.69,31,36
87492,0604032,1,0,0,0,4808.55,36,35
87652,0604032,1,0,0,0,4808.55,11,41
27641,0604011,0,1,0,0,5126.35,44,32
29118,0604011,0,1,0,0,5126.35,65,42
48550,0604011,0,1,0,0,5126.35,56,42
121838,0604042,1,0,0,0,5348.28,12,41
122399,0604042,1,0,0,0,5348.28,21,26
122407,0604042,1,0,0,0,5348.28,11,41
61381,0604052,1,0,0,0,4686.95,25,36
61382,0604052,1,0,0,0,4686.95,10,30
89855,0604052,1,0,0,0,4686.95,11,39
12211,0604062,1,0,0,0,4825.79,10,42
12212,0604062,1,0,0,0,4825.79,12,36
106693,0604072,1,0,0,0,4425.32,24,43
60811,0604082,1,0,0,0,4872.9,26,40
29779,0605012,1,0,0,0,5459.56,23,41
29846,0605012,1,0,0,0,5459.56,10,34
51429,0605022,1,0,0,0,6067.64,15,57
111091,0605032,1,0,0,0,4956.47,26,47
111103,0605032,1,0,0,0,4956.47,20,43
57674,0605042,1,0,0,0,5712.99,21,42
58506,0605042,1,0,0,0,5712.99,20,27
105724,0605072,1,0,0,0,5247.43,14,48
105735,0605072,1,0,0,0,5247.43,19,31
105742,0605072,1,0,0,0,5247.43,17,64
105653,0606022,1,0,0,0,5369.71,25,50
107331,0606022,1,0,0,0,5369.71,19,34
11845,0606032,1,0,0,0,4292.87,19,41
13136,0606042,1,0,0,0,4683.38,21,49
13214,0606042,1,0,0,0,4683.38,11,49
265969,0606042,1,0,0,0,4683.38,10,26
89876,0606011,0,1,0,0,4369.52,12,39
107735,0606011,0,1,0,0,4369.52,65,50
108691,0606011,0,1,0,0,4369.52,65,46
108700,0606011,0,1,0,0,4369.52,25,37
71440,0606052,1,0,0,0,4889.99,13,43
89878,0606052,1,0,0,0,4889.99,23,51
123290,0606052,1,0,0,0,4889.99,22,30
57063,0606062,1,0,0,0,5004.27,16,32
59638,0606092,1,0,0,0,5818.76,15,43
59639,0606092,1,0,0,0,5818.76,13,48
110154,0606102,1,0,0,0,4955.85,32,42
30992,0606072,1,0,0,0,5156.13,11,30
31069,0606072,1,0,0,0,5156.13,11,41
55758,0606112,1,0,0,0,5550.56,34,41
109575,0607032,1,0,0,0,4973.68,29,38
115622,0607032,1,0,0,0,4973.68,10,29
83755,0607042,1,0,0,0,5607.23,17,29
92559,0607042,1,0,0,0,5607.23,38,46
34868,0607011,0,1,0,0,4421.96,13,58
40748,0607011,0,1,0,0,4421.96,67,57
85021,0607011,0,1,0,0,4421.96,56,53
107118,0607011,0,1,0,0,4421.96,35,37
107234,0607011,0,1,0,0,4421.96,27,40
107235,0607011,0,1,0,0,4421.96,62,40
85481,0607052,1,0,0,0,4604.83,36,45
8688,0607062,1,0,0,0,5280.49,10,36
12241,0607062,1,0,0,0,5280.49,10,32
20015,0607062,1,0,0,0,5280.49,16,38
77610,0607062,1,0,0,0,5280.49,10,53
105207,0607072,1,0,0,0,5227.18,20,50
105208,0607072,1,0,0,0,5227.18,16,43
105209,0607072,1,0,0,0,5227.18,12,36
82622,0607092,1,0,0,0,6239.2,11,32
93055,0607092,1,0,0,0,6239.2,12,33
93069,0607092,1,0,0,0,6239.2,34,43
90933,0607102,1,0,0,0,5517.15,31,47
87697,0608022,1,0,0,0,5494.13,11,41
114850,0608022,1,0,0,0,5494.13,24,38
69736,0608032,1,0,0,0,6325.63,34,37
69738,0608032,1,0,0,0,6325.63,14,67
113668,0608042,1,0,0,0,5388.87,27,36
66117,0608011,0,1,0,0,5797.33,119,57
66123,0608011,0,1,0,0,5797.33,85,46
66132,0608011,0,1,0,0,5797.33,39,52
19338,0608072,1,0,0,0,6323.75,27,56
19340,0608072,1,0,0,0,6323.75,17,40
19346,0608072,1,0,0,0,6323.75,13,48
90035,0608082,1,0,0,0,5431.75,40,34
90074,0608082,1,0,0,0,5431.75,20,29
58976,0608092,1,0,0,0,5621.7,13,45
58977,0608092,1,0,0,0,5621.7,11,54
60752,0608092,1,0,0,0,5621.7,12,38
38960,0608112,1,0,0,0,5379.19,13,38
73638,0608112,1,0,0,0,5379.19,11,49
73642,0608112,1,0,0,0,5379.19,13,46
44549,0608122,1,0,0,0,6050.54,12,55
44553,0608122,1,0,0,0,6050.54,11,49
35088,0608132,1,0,0,0,5533.46,19,38
57275,0609022,1,0,0,0,4859.97,18,32
91958,0609022,1,0,0,0,4859.97,12,36
19526,0609042,1,0,0,0,5911.2,23,57
19606,0609042,1,0,0,0,5911.2,42,48
20484,0609042,1,0,0,0,5911.2,15,44
11753,0609052,1,0,0,0,7290.73,17,44
41234,0609052,1,0,0,0,7290.73,47,47
41237,0609052,1,0,0,0,7290.73,18,43
41240,0609052,1,0,0,0,7290.73,28,62
5045,0609062,1,0,0,0,6205.67,22,39
5050,0609062,1,0,0,0,6205.67,10,50
7957,0609062,1,0,0,0,6205.67,32,51
24157,0609072,1,0,0,0,5882.93,12,69
43812,0609072,1,0,0,0,5882.93,12,57
43814,0609072,1,0,0,0,5882.93,10,48
43815,0609072,1,0,0,0,5882.93,18,56
43818,0609072,1,0,0,0,5882.93,41,43
25225,0609082,1,0,0,0,5629.61,10,52
25355,0609082,1,0,0,0,5629.61,10,44
25398,0609082,1,0,0,0,5629.61,13,61
25471,0609082,1,0,0,0,5629.61,10,54
12780,0609092,1,0,0,0,5803.04,32,38
57689,0609102,1,0,0,0,6882.87,45,53
61578,0609102,1,0,0,0,6882.87,11,45
86203,0609102,1,0,0,0,6882.87,19,51
87004,0609102,1,0,0,0,6882.87,13,49
105546,0609112,1,0,0,0,5366.47,16,51
105568,0609112,1,0,0,0,5366.47,16,44
105591,0609112,1,0,0,0,5366.47,67,53
106629,0609112,1,0,0,0,5366.47,14,39
106630,0609112,1,0,0,0,5366.47,18,56
106631,0609112,1,0,0,0,5366.47,10,43
106928,0609112,1,0,0,0,5366.47,33,47
4362,0609122,1,0,0,0,5681.53,23,48
60865,0609122,1,0,0,0,5681.53,16,55
81622,0609122,1,0,0,0,5681.53,11,52
85902,0609122,1,0,0,0,5681.53,16,40
64853,0609132,1,0,0,0,5681.93,12,29
64856,0609132,1,0,0,0,5681.93,29,42
104139,0609152,1,0,0,0,5296.44,21,42
107513,0609142,1,0,0,0,6433.86,17,36
107515,0609142,1,0,0,0,6433.86,13,45
122669,0609142,1,0,0,0,6433.86,15,45
13245,0609162,1,0,0,0,4664.24,16,52
13246,0609162,1,0,0,0,4664.24,14,35
112160,0612012,1,0,0,0,5744.95,36,39
113688,0612012,1,0,0,0,5744.95,21,36
114561,0612032,1,0,0,0,4993.13,49,36
72010,0612072,1,0,0,0,6013.58,10,47
72234,0612072,1,0,0,0,6013.58,20,44
262517,0612042,1,0,0,0,4948.57,29,42
105756,0613012,1,0,0,0,5826.66,24,41
4378,0613022,1,0,0,0,5850.12,11,32
105358,0613032,1,0,0,0,5382.1,27,39
114832,0613052,1,0,0,0,5328.65,10,30
49722,0613062,1,0,0,0,4851.96,13,42
66225,0613062,1,0,0,0,4851.96,13,52
114213,0613072,1,0,0,0,6140.26,18,50
85785,0614022,1,0,0,0,6634.03,42,42
121563,0614032,1,0,0,0,5614.53,20,37
72646,0614052,1,0,0,0,5979.03,13,45
72648,0614052,1,0,0,0,5979.03,42,48
38458,0614062,1,0,0,0,5868.01,44,43
93027,0614062,1,0,0,0,5868.01,10,28
80321,0614072,1,0,0,0,6070.46,28,47
55580,0614011,0,1,0,0,6834.08,32,50
55581,0614011,0,1,0,0,6834.08,41,48
55582,0614011,0,1,0,0,6834.08,41,36
55583,0614011,0,1,0,0,6834.08,79,53
55584,0614011,0,1,0,0,6834.08,80,53
55585,0614011,0,1,0,0,6834.08,47,40
55614,0614011,0,1,0,0,6834.08,14,21
262804,0614011,0,1,0,0,6834.08,17,50
262806,0614011,0,1,0,0,6834.08,64,60
263577,0614011,0,1,0,0,6834.08,13,19
60566,0614092,1,0,0,0,5080.4,23,53
61439,0614092,1,0,0,0,5080.4,13,45
83829,0614092,1,0,0,0,5080.4,16,51
55494,0614102,1,0,0,0,5337.67,29,31
55495,0614102,1,0,0,0,5337.67,10,54
109773,0614112,1,0,0,0,6411.64,45,53
109774,0614112,1,0,0,0,6411.64,20,38
115074,0615022,1,0,0,0,6651.14,22,36
115109,0615022,1,0,0,0,6651.14,18,46
263256,0615022,1,0,0,0,6651.14,10,51
13909,0615032,1,0,0,0,5388.23,36,41
64498,0615052,1,0,0,0,5898.26,45,38
40714,0615042,1,0,0,0,5782.21,15,41
40998,0615042,1,0,0,0,5782.21,39,42
41006,0615042,1,0,0,0,5782.21,11,45
81015,0615011,0,1,0,0,5079.44,101,42
81016,0615011,0,1,0,0,5079.44,72,46
106804,0615062,1,0,0,0,5797.8,24,47
106828,0615062,1,0,0,0,5797.8,19,35
106903,0615062,1,0,0,0,5797.8,12,60
104567,0615072,1,0,0,0,5777.0,42,43
71102,0615082,1,0,0,0,5258.06,11,59
87753,0615082,1,0,0,0,5258.06,20,26
40147,0616011,0,1,0,0,5049.0,24,42
86507,0616011,0,1,0,0,5049.0,45,61
86511,0616011,0,1,0,0,5049.0,34,47
86512,0616011,0,1,0,0,5049.0,35,43
17359,0616022,1,0,0,0,6039.68,39,36
17439,0616022,1,0,0,0,6039.68,12,44
17537,0616022,1,0,0,0,6039.68,13,52
107737,0616032,1,0,0,0,5530.05,11,40
108790,0616032,1,0,0,0,5530.05,13,46
38758,0616052,1,0,0,0,5201.65,22,50
38760,0616052,1,0,0,0,5201.65,10,67
60012,0616062,1,0,0,0,5881.01,11,35
86215,0616062,1,0,0,0,5881.01,13,43
7139,0618022,1,0,0,0,5265.91,37,40
110560,0618032,1,0,0,0,4897.35,17,38
92483,0618042,1,0,0,0,5610.24,23,36
41182,0618072,1,0,0,0,5081.36,10,47
41183,0618072,1,0,0,0,5081.36,16,37
74721,0618072,1,0,0,0,5081.36,13,41
27976,0618082,1,0,0,0,5232.98,12,57
76009,0618082,1,0,0,0,5232.98,23,34
79907,0618082,1,0,0,0,5232.98,24,37
115423,0618092,1,0,0,0,5969.33,32,37
86690,0618102,1,0,0,0,5133.47,32,30
2971,0618011,0,1,0,0,6153.41,17,56
3016,0618011,0,1,0,0,6153.41,83,45
133903,0618011,0,1,0,0,6153.41,99,50
17497,0618112,1,0,0,0,4966.06,19,43
18060,0618112,1,0,0,0,4966.06,15,41
89097,0618132,1,0,0,0,4914.39,17,40
110320,0619022,1,0,0,0,5563.5,11,25
31136,0619032,1,0,0,0,5977.0,29,42
92146,0619042,1,0,0,0,5979.66,14,49
122790,0619052,1,0,0,0,7330.0,30,42
14479,0619011,0,1,0,0,5082.37,48,48
14509,0619011,0,1,0,0,5082.37,72,45
121987,0619062,1,0,0,0,5134.17,17,45
121998,0619062,1,0,0,0,5134.17,11,28
