RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English
43803,1013011,0,1,0,0,5895.16,1,1995-02-15,549,1,1,0,1,1,52,71
83640,1013042,1,0,0,0,5656.81,1,1985-10-23,162,1,0,1,0,0,11,51
84273,1013042,1,0,0,0,5656.81,1,1985-10-23,176,0,1,1,1,1,10,66
86965,1013042,1,0,0,0,5656.81,1,1985-10-23,249,1,1,0,1,1,30,48
87040,1013042,1,0,0,0,5656.81,0,1985-10-23,144,1,0,1,1,1,12,57
87119,1013042,1,0,0,0,5656.81,0,1985-10-23,119,0,0,0,1,1,10,46
104826,1013062,1,0,0,0,5416.43,1,1920-09-01,172,1,0,0,0,1,10,76
105181,1013062,1,0,0,0,5416.43,1,1930-09-01,257,0,0,0,1,1,30,52
90525,1014042,1,0,0,0,5114.97,1,1999-09-01,140,0,1,0,0,0,13,53
91730,1014042,1,0,0,0,5114.97,0,1999-09-01,228,0,1,0,0,1,24,63
66111,1014032,1,0,0,0,6201.2,0,1900-09-01,167,0,1,0,0,1,20,50
66257,1014032,1,0,0,0,6201.2,0,1938-09-01,149,1,1,1,0,0,15,49
66522,1014032,1,0,0,0,6201.2,0,2001-09-01,64,1,0,0,0,0,10,42
107121,1014052,1,0,0,0,5382.97,1,1975-12-15,308,0,1,0,0,1,30,67
107124,1014052,1,0,0,0,5382.97,1,1985-01-01,136,0,1,1,0,1,14,38
61918,1014062,1,0,0,0,5093.37,0,1999-09-01,193,1,1,1,0,1,22,46
69941,1014072,1,0,0,0,6213.37,0,1960-10-20,235,0,1,1,0,1,29,55
70937,1014011,0,1,0,0,4707.77,1,1984-09-01,990,1,1,1,1,1,124,73
70938,1014011,0,1,0,0,4707.77,1,1945-02-16,295,1,1,0,1,1,43,55
70943,1014011,0,1,0,0,4707.77,1,1961-09-01,674,0,1,0,1,1,70,76
83449,1014011,0,1,0,0,4707.77,1,1999-09-01,319,0,1,0,1,1,57,79
83450,1014011,0,1,0,0,4707.77,1,1918-01-01,142,1,1,0,0,0,10,48
83451,1014011,0,1,0,0,4707.77,0,1927-09-01,568,1,1,1,1,1,43,57
196393,1014011,0,1,0,0,4707.77,1,2017-09-01,535,1,1,0,0,1,21,66
10403,1014082,1,0,0,0,5414.77,1,1952-09-01,242,0,1,1,0,1,17,68
10404,1014082,1,0,0,0,5414.77,1,1954-09-01,164,1,0,1,0,1,14,55
13388,1014082,1,0,0,0,5414.77,1,1949-09-01,140,0,1,1,0,0,16,60
