ID,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in mathematics,Avg. score in mathematics,Prctl in mathematics
165,0,1,0.048591012906242764,1,0.07990867579908675,0.34769038701622973,1,1,1,0,1,0.2384937238493724,44,46.49984648449493
166,0,1,0.048591012906242764,0,0.07990867579908675,0.28651685393258425,1,1,1,1,1,0.200836820083682,56,84.55634019035922
167,0,1,0.048591012906242764,0,0.07534246575342465,0.10611735330836454,1,1,0,0,1,0.04602510460251046,37,20.63248388087197
168,1,0,0.051966100749844535,0,0.0547945205479452,0.0686641697877653,1,1,0,0,0,0.016736401673640166,39,27.387166103776483
169,1,0,0.051966100749844535,1,0.0547945205479452,0.13420724094881398,1,1,1,0,1,0.04602510460251046,33,10.592569849554804
170,1,0,0.051966100749844535,1,0.0547945205479452,0.041822721598002495,1,1,1,0,0,0.0,45,50.690819772797056
171,1,0,0.05234208555326565,1,0.10730593607305935,0.06679151061173533,1,1,0,0,0,0.012552301255230125,54,80.2118513969911
172,1,0,0.05234208555326565,1,0.1643835616438356,0.15980024968789014,0,1,0,0,1,0.07112970711297072,47,57.72182990482039
173,1,0,0.043747076591672235,1,0.0547945205479452,0.11672908863920099,0,1,0,0,0,0.04184100418410042,41,34.41817623579981
174,1,0,0.043747076591672235,0,0.0547945205479452,0.10486891385767791,0,1,1,0,1,0.008368200836820083,41,34.41817623579981
175,1,0,0.05366815342128579,0,0.04794520547945205,0.0686641697877653,1,1,0,0,0,0.012552301255230125,39,27.387166103776483
176,1,0,0.05366815342128579,0,0.04794520547945205,0.0986267166042447,0,1,0,0,0,0.029288702928870293,37,20.63248388087197
177,1,0,0.05366815342128579,0,0.04794520547945205,0.06741573033707865,1,1,0,0,0,0.02510460251046025,48,61.57506908197728
178,1,0,0.060749031658924334,1,0.18493150684931506,0.20786516853932585,1,0,1,1,0,0.0502092050209205,45,50.690819772797056
179,0,1,0.07228200660321946,1,0.13013698630136986,0.4019975031210986,1,1,0,0,1,0.2301255230125523,46,54.160270187288916
180,0,1,0.07228200660321946,1,0.2146118721461187,0.5156054931335831,1,1,1,1,1,0.21338912133891214,55,82.63739637703408
181,0,1,0.07228200660321946,1,0.05707762557077625,0.34269662921348315,1,1,0,1,1,0.17573221757322174,58,88.01043905434449
182,1,0,0.06341739079269,1,0.07990867579908675,0.10112359550561797,1,0,1,0,0,0.0041841004184100415,38,24.08658274485723
183,1,0,0.06341739079269,1,0.07990867579908675,0.10986267166042447,0,1,1,1,1,0.0,55,82.63739637703408
184,1,0,0.06341739079269,1,0.07990867579908675,0.15543071161048688,1,1,0,1,1,0.08368200836820083,35,15.059871046975745
185,1,0,0.06341739079269,0,0.07990867579908675,0.0898876404494382,1,0,1,1,1,0.008368200836820083,43,42.29352164568622
186,1,0,0.06341739079269,0,0.07990867579908675,0.07428214731585518,0,0,0,1,1,0.0,33,10.592569849554804
187,1,0,0.054421766545448697,1,0.228310502283105,0.10736579275905118,1,0,0,0,1,0.02510460251046025,60,91.06539760515811
188,1,0,0.054421766545448697,1,0.2054794520547945,0.16042446941323346,0,0,0,1,1,0.09205020920502092,49,65.18268345102855
189,1,0,0.043060512602212234,1,0.04794520547945205,0.08739076154806492,0,1,0,0,0,0.012552301255230125,51,71.40006140620203
190,1,0,0.043060512602212234,0,0.04794520547945205,0.14232209737827714,0,1,0,0,1,0.058577405857740586,58,88.01043905434449
191,1,0,0.08358483216948596,0,0.273972602739726,0.10424469413233459,0,1,0,0,1,0.04184100418410042,46,54.160270187288916
192,1,0,0.08358483216948596,0,0.1872146118721461,0.09300873907615481,1,1,1,0,0,0.02092050209205021,46,54.160270187288916
